country,growth_model,quadrant,vulnerability,potential,intensity,fossil,complexity,innovation,borderline
Denmark,Core,Winners,-0.91,2.33,-1,-0.31,0.73,2.85,FALSE
Germany,Core,Winners,-0.19,2.01,-0.8,0.53,2.01,1.08,FALSE
Austria,Core,Winners,-0.85,1.15,-0.84,-0.39,1.19,0.57,FALSE
Italy,Periphery,Winners,-0.31,1.11,-0.88,0.43,2.08,-0.36,FALSE
Sweden,Core,Winners,-2.64,1.03,-1.08,-2.74,0.27,1.31,FALSE
Luxembourg,Finance,Winners,-0.32,1.01,-1.06,0.6,-0.96,2.51,FALSE
France,Periphery,Winners,-1.79,0.94,-1,-1.59,1.04,0.41,FALSE
Finland,Core,Winners,-1.37,0.59,-0.17,-1.81,-0.23,1.14,FALSE
Spain,Periphery,Winners,-0.43,0.29,-0.72,0.09,0.98,-0.54,FALSE
Belgium,Core,Winners,-0.31,0.04,-0.7,0.25,-0.15,0.21,FALSE
Slovenia,Workbench,Winners,-0.3,-0.24,0.24,-0.67,0.13,-0.49,TRUE
Netherlands,Finance,Exposed,0.33,0.31,-0.84,1.31,0.05,0.42,FALSE
Czechia,Workbench,Exposed,0.71,0.05,0.88,0.14,0.74,-0.67,FALSE
Poland,Workbench,Exposed,1.73,-0.01,1.4,1.09,0.66,-0.68,FALSE
Portugal,Periphery,Low-stakes,-0.16,-0.35,-0.39,0.17,0.09,-0.63,FALSE
Slovakia,Workbench,Low-stakes,-0.23,-0.73,0.35,-0.69,-0.48,-0.65,FALSE
Hungary,Workbench,At risk,0.37,-0.45,0.9,-0.36,-0.05,-0.65,FALSE
Estonia,Workbench,At risk,1.36,-0.53,1.16,0.8,-0.25,-0.56,FALSE
Romania,Workbench,At risk,0.48,-0.55,0.7,-0.01,-0.12,-0.73,FALSE
Bulgaria,Workbench,At risk,1.77,-0.56,2.76,-0.21,-0.16,-0.71,FALSE
Croatia,Workbench,At risk,0.27,-0.58,0.6,-0.21,-0.17,-0.72,FALSE
Lithuania,Workbench,At risk,0.14,-0.68,0.64,-0.43,-0.34,-0.71,TRUE
Latvia,Workbench,At risk,0.04,-0.78,0.87,-0.8,-0.51,-0.69,TRUE
Ireland,Finance,At risk,0.08,-1.24,-1.04,1.17,-1.72,-0.19,TRUE
Greece,Periphery,At risk,1.12,-1.3,0.78,0.84,-1.3,-0.7,FALSE
Malta,Finance,At risk,0.28,-1.31,-1.08,1.48,-1.84,-0.18,FALSE
Cyprus,Periphery,At risk,1.12,-1.52,0.3,1.31,-1.68,-0.67,FALSE
